Time,LeftOutput,RightOutput,LeftLeadCurrent,LeftFollow1Current,LeftFollow2Current,RightLeadCurrent,RightFollow1Current,RightFollow2Current,LeftCurrentAvg
141.48,0.00674459,0.00842311,0,0,0.03125,0.34375,0.40625,0.34375,0.010416667
141.5,0.0205695,0.0225227,0.03125,0,0,0,0.09375,0,0.010416667
141.52,0.0232551,0.0251778,0.09375,0,0.0625,0.09375,0.09375,0.21875,0.052083333
141.54,0.0320139,0.0329295,0,0,0.0625,0,0,0,0.020833333
141.56,0.035371,0.0368053,0,0,0,0,0.0625,0,0
141.58,0.0382702,0.0398877,0.3125,0.21875,0.15625,0.40625,0.0625,0.28125,0.229166667
141.6,0.0435194,0.0441603,0.15625,0.3125,0.28125,0.25,0.21875,0.25,0.25
141.62,0.0466933,0.0478225,0,0.03125,0.0625,0,0,0.09375,0.03125
141.64,0.0524308,0.0537736,0.09375,0.0625,0.03125,0.09375,0,0.09375,0.0625
141.66,0.0565203,0.0578326,0.21875,0.125,0.15625,0.21875,0.21875,0.3125,0.166666667
141.68,0.0589618,0.060152,0.09375,0.125,0.1875,0.09375,2.1875,0.1875,0.135416667
141.7,0.0608234,0.061861,0.0625,0.03125,0.125,0.0625,0.09375,0.09375,0.072916667
141.72,0.0638752,0.0649129,0.03125,0,0.03125,0.03125,13.3438,0.09375,0.020833333
141.74,0.0645466,0.0653706,0,0.0625,0.125,0.0625,13.3438,4.84375,0.0625
141.76,0.0687277,0.0677206,0.03125,0.0625,0.03125,0.09375,21,8.5625,0.041666667
141.78,0.0692465,0.0699179,0.09375,0.0625,0.125,0.09375,0.34375,0.375,0.09375
141.8,0.0713828,0.0723289,0.0625,0.0625,0.125,0.0625,18.7188,12.5312,0.083333333
141.82,0.0734275,0.0723594,0.03125,0.03125,0.0625,0.15625,22.75,0.0625,0.041666667
141.84,0.0732749,0.0738243,0.03125,0.03125,0.125,0.0625,22.4688,5.15625,0.0625
141.86,0.0748009,0.0751976,0.03125,0.03125,0.03125,0.8125,0.0625,11.0938,0.03125
141.88,0.0780663,0.0785241,0.03125,0.03125,0.0625,0.03125,0.0625,0.59375,0.041666667
141.9,0.0802026,0.0800806,0.03125,0,0.0625,0.03125,0.0625,16.5938,0.03125
141.92,0.0801721,0.0797754,0,0,0.0625,0.0625,0.03125,4.5,0.020833333
141.94,0.0834681,0.0830103,0.03125,0,0.03125,0.0625,0.03125,0.0625,0.020833333
141.96,0.0856655,0.084994,0.0625,0,0.0625,0.09375,0.0625,0.28125,0.041666667
141.98,0.087344,0.0850551,0.03125,0,0.03125,0.0625,1.5,0.71875,0.020833333
142,0.089877,0.0884121,0,0,0.0625,0.03125,1.5,6,0.020833333
142.02,0.0924406,0.09064,0.0625,0.03125,0.03125,4.03125,22.7812,14.3438,0.041666667
142.04,0.0943022,0.0912198,0.0625,0,0.09375,0.0625,15.0938,0.6875,0.052083333
142.06,0.0948515,0.0925016,0.03125,0,0.03125,0,6.46875,8.71875,0.020833333
142.08,0.0952483,0.0925626,0.03125,0.03125,0.03125,0,6.125,7.5625,0.03125
142.1,0.0964385,0.0924711,0,0,0.03125,0,6.125,2.0625,0.010416667
142.12,0.0958892,0.0930815,0.0625,0,0.03125,0.03125,9.3125,0.03125,0.03125
142.14,0.0955535,0.0921049,0,0,0.03125,0.03125,0.03125,14.3125,0.010416667
142.16,0.0959197,0.0922575,0.03125,0,0.0625,0,21.6875,0.0625,0.03125
142.18,0.0978423,0.0939055,0,0,0.03125,0,0.125,18.7188,0.010416667
142.2,0.0978118,0.0932035,0.03125,0,0.03125,0.03125,0.125,0.03125,0.020833333
142.22,0.0982696,0.0933256,0,0,0.03125,0,0.09375,2.5625,0.010416667
142.24,0.0975066,0.0925626,0,0,0.0625,0,20.9062,0.03125,0.020833333
142.26,0.10004,0.0941801,0.09375,0,0.0625,0,0.09375,14.5312,0.052083333
142.28,0.102756,0.0969268,0,0,0.03125,0.0625,4.3125,8.3125,0.010416667
142.3,0.108249,0.102115,0.03125,0,0.03125,0,4.3125,9.40625,0.020833333
142.32,0.12418,0.117313,9.90625,0,1.34375,0,22.6562,20.4062,3.75
142.34,0.134465,0.128025,15.2812,5.84375,13.9375,14.5312,18.4375,13.4688,11.68748333
142.36,0.142644,0.135838,16.1562,9.875,13.1562,15.4688,29.6562,12.75,13.06246667
142.38,0.152348,0.145268,15.5625,11.1562,14.5,12.7188,18.3438,18.9062,13.73956667
142.4,0.157903,0.150792,14.375,11.8125,14.0625,11.8438,18.3438,18.5625,13.41666667
142.42,0.162938,0.1554,13.4375,13.7812,13.7188,12.9375,15.5625,17.4688,13.64583333
142.44,0.169134,0.161382,13.4375,11.0938,12.375,12.4688,15.5625,15.5625,12.3021
142.46,0.172521,0.164708,14.375,10,12.7188,12.8438,13.4688,17.5,12.3646
142.48,0.177923,0.16776,12.5312,10.7812,11.5312,12.0625,26.5625,16.0625,11.61453333
142.5,0.180578,0.172369,12.1562,11.1562,9.9375,6.0625,21.0625,10.6562,11.0833
142.52,0.185034,0.176855,11.5,9.625,12.25,0,21.0625,12.5312,11.125
142.54,0.189459,0.178014,10.9375,11.3438,11,8.78125,14.7188,12.75,11.09376667
142.56,0.190344,0.181402,11.5,11,10.1562,9.8125,18.375,11.5625,10.8854
142.58,0.190466,0.181097,11.1875,8.375,11,5.84375,18.375,12.7188,10.1875
142.6,0.192938,0.18067,10.9062,10.4688,9.59375,0,10.7188,11.0625,10.32291667
142.62,0.191961,0.182104,10.9375,10.25,10.4062,0,22.2188,11.9062,10.53123333
142.64,0.194342,0.183752,0.375,9.6875,7.71875,0,19.1875,12.4062,5.927083333
142.66,0.199164,0.188421,9.3125,0,1.03125,0,3.34375,12.8125,3.447916667
142.68,0.198126,0.186865,4.34375,0,10.1562,0.03125,3.34375,7.3125,4.833316667
142.7,0.200751,0.189154,10.5,9,9.46875,0,10.9688,12.6562,9.65625
142.72,0.202155,0.190313,10.8125,2.15625,6.3125,0,7.1875,7.78125,6.427083333
142.74,0.204657,0.192022,8.84375,5.65625,9.40625,0.03125,23.3125,10.2188,7.96875
142.76,0.213263,0.198614,10.4062,9.53125,9.46875,0.03125,12.3125,13.7812,9.802066667
142.78,0.218268,0.204505,9.375,8.71875,9.5,3.3125,12.3125,8.0625,9.197916667
142.8,0.223487,0.209601,9.6875,8.84375,8.6875,2.59375,35.5,18,9.072916667
142.82,0.234901,0.219062,9.03125,9.25,9.25,6.6875,9.15625,17.0625,9.177083333
142.84,0.242439,0.227515,10.2188,8.03125,9.03125,8.78125,34.875,12.5625,9.093766667
142.86,0.246376,0.230811,8.625,7.75,8.3125,1.78125,34.875,14.625,8.229166667
142.88,0.251595,0.235572,9.375,8.15625,8.03125,8.375,8.78125,15.9688,8.520833333
142.9,0.253883,0.237587,8.96875,7.71875,9.15625,4.125,42.4375,20.625,8.614583333
142.92,0.256539,0.239723,8.59375,7.96875,7.5,2.3125,8.3125,11.7188,8.020833333
142.94,0.260384,0.243233,7.75,6.8125,7.9375,2.25,16.5625,16.5625,7.5
142.96,0.261788,0.244087,7.90625,6.90625,8.0625,8.65625,16.5625,9.40625,7.625
142.98,0.264931,0.244636,7.6875,6.9375,8.125,4.96875,11.3438,11.75,7.583333333
143,0.265358,0.246773,7.8125,8.0625,7.09375,0,15.5,8.875,7.65625
143.02,0.265206,0.246345,6.65625,7.71875,7.34375,0,10.4062,12,7.239583333
143.04,0.27076,0.24897,7.53125,7.0625,7.90625,0,9.1875,8.09375,7.5
143.06,0.270241,0.250374,7.25,6.71875,7.375,0,6.9375,12.3438,7.114583333
143.08,0.269723,0.249733,8,6.40625,8.0625,1,13.5,16.3125,7.489583333
143.1,0.27485,0.252602,7.1875,4.96875,6.375,0.625,42.9688,13.7188,6.177083333
143.12,0.274239,0.25367,7.96875,0.53125,8.34375,2.3125,7.75,16.2812,5.614583333
143.14,0.274087,0.253121,8.09375,3.9375,6.5625,0,22.7188,13.0312,6.197916667
